Confirmed,State,Special Id,Production,Species
9-Oct-24,California,CA 054,Dairy Milking Cows,Cattle
8-Oct-24,California,CA 099,Dairy Milking Cows,Cattle
8-Oct-24,California,CA 102,Dairy Milking Cows,Cattle
8-Oct-24,California,CA 103,Dairy Milking Cows,Cattle
7-Oct-24,California,CA 084,Dairy Milking Cows,Cattle
7-Oct-24,California,CA 085,Dairy Milking Cows,Cattle
7-Oct-24,California,CA 086,Dairy Milking Cows,Cattle
7-Oct-24,California,CA 087,Dairy Milking Cows,Cattle
7-Oct-24,California,CA 088,Dairy Milking Cows,Cattle
7-Oct-24,California,CA 089,Dairy Milking Cows,Cattle
7-Oct-24,California,CA 090,Dairy Milking Cows,Cattle
7-Oct-24,California,CA 091,Dairy Milking Cows,Cattle
7-Oct-24,California,CA 093,Dairy Milking Cows,Cattle
7-Oct-24,California,CA 094,Dairy Milking Cows,Cattle
7-Oct-24,California,CA 095,Dairy Milking Cows,Cattle
7-Oct-24,California,CA 097,Dairy Milking Cows,Cattle
7-Oct-24,California,CA 098,Dairy Milking Cows,Cattle
4-Oct-24,California,CA 059,Dairy Milking Cows,Cattle
4-Oct-24,California,CA 075,Dairy Milking Cows,Cattle
4-Oct-24,California,CA 076,Dairy Milking Cows,Cattle
4-Oct-24,California,CA 077,Dairy Milking Cows,Cattle
4-Oct-24,California,CA 078,Dairy Milking Cows,Cattle
4-Oct-24,California,CA 079,Dairy Milking Cows,Cattle
4-Oct-24,California,CA 080,Dairy Milking Cows,Cattle
4-Oct-24,California,CA 081,Dairy Milking Cows,Cattle
4-Oct-24,California,CA 082,Dairy Milking Cows,Cattle
4-Oct-24,California,CA 083,Dairy Milking Cows,Cattle
4-Oct-24,California,CA 100,Dairy Milking Cows,Cattle
4-Oct-24,California,CA 101,Dairy Milking Cows,Cattle
3-Oct-24,California,CA 060,Dairy Milking Cows,Cattle
3-Oct-24,California,CA 061,Dairy Milking Cows,Cattle
3-Oct-24,California,CA 062,Dairy Milking Cows,Cattle
3-Oct-24,California,CA 063,Dairy Milking Cows,Cattle
3-Oct-24,California,CA 064,Dairy Milking Cows,Cattle
3-Oct-24,California,CA 065,Dairy Milking Cows,Cattle
3-Oct-24,California,CA 066,Dairy Milking Cows,Cattle
3-Oct-24,California,CA 067,Dairy Milking Cows,Cattle
3-Oct-24,California,CA 068,Dairy Milking Cows,Cattle
3-Oct-24,California,CA 069,Dairy Milking Cows,Cattle
3-Oct-24,California,CA 070,Dairy Milking Cows,Cattle
3-Oct-24,California,CA 071,Dairy Milking Cows,Cattle
3-Oct-24,California,CA 072,Dairy Milking Cows,Cattle
3-Oct-24,California,CA 073,Dairy Milking Cows,Cattle
3-Oct-24,California,CA 074,Dairy Milking Cows,Cattle
2-Oct-24,California,CA 048,Dairy Milking Cows,Cattle
1-Oct-24,California,CA 043,Dairy Milking Cows,Cattle
1-Oct-24,California,CA 047,Dairy Milking Cows,Cattle
1-Oct-24,California,CA 049,Dairy Milking Cows,Cattle
1-Oct-24,California,CA 050,Dairy Milking Cows,Cattle
1-Oct-24,California,CA 051,Dairy Milking Cows,Cattle
1-Oct-24,California,CA 052,Dairy Milking Cows,Cattle
1-Oct-24,California,CA 053,Dairy Milking Cows,Cattle
1-Oct-24,California,CA 055,Dairy Milking Cows,Cattle
1-Oct-24,California,CA 056,Dairy Milking Cows,Cattle
1-Oct-24,California,CA 057,Dairy Milking Cows,Cattle
1-Oct-24,California,CA 058,Dairy Milking Cows,Cattle
30-Sep-24,Idaho,ID 036,Dairy Milking Cows,Cattle
27-Sep-24,California,CA 044,Dairy Milking Cows,Cattle
27-Sep-24,California,CA 045,Dairy Milking Cows,Cattle
27-Sep-24,California,CA 046,Dairy Milking Cows,Cattle
27-Sep-24,Idaho,ID 035,Dairy Milking Cows,Cattle
24-Sep-24,California,CA 015,Dairy Milking Cows,Cattle
23-Sep-24,California,CA 037,Dairy Milking Cows,Cattle
23-Sep-24,California,CA 038,Dairy Milking Cows,Cattle
23-Sep-24,California,CA 039,Dairy Milking Cows,Cattle
23-Sep-24,California,CA 040,Dairy Milking Cows,Cattle
23-Sep-24,California,CA 041,Dairy Milking Cows,Cattle
23-Sep-24,California,CA 042,Dairy Milking Cows,Cattle
20-Sep-24,California,CA 018,Dairy Milking Cows,Cattle
20-Sep-24,California,CA 019,Dairy Milking Cows,Cattle
20-Sep-24,California,CA 020,Dairy Milking Cows,Cattle
20-Sep-24,California,CA 021,Dairy Milking Cows,Cattle
20-Sep-24,California,CA 022,Dairy Milking Cows,Cattle
20-Sep-24,California,CA 023,Dairy Milking Cows,Cattle
20-Sep-24,California,CA 024,Dairy Milking Cows,Cattle
20-Sep-24,California,CA 025,Dairy Milking Cows,Cattle
